id,institution_name,institution_description
f0db1827b239411589083f19e15f4acb,Yadkin County Public Library,
f6ae11d54ac640b9823c03984d0e9a1a,Woodrow Wilson Presidential Library,
29a6cac4cc634bfc984be9be90c2cd4c,William Peace University,
7bd533de6d0b4caab201bcf53dba49e7,Wharton County Library,
944ccf32451e47ff99a999eea58e48b1,Worcester Art Museum,
8034508bec8c469880f92218b8187d84,Watauga County Public Library,
7d5d1510e3ca4a5d961bb520f2c8e287,Western Carolina University,
769dcedd6a2f4ac59e29074500ed87ed,Wingate University,
11a57e6532ca4e5ab18ac9c942dac819,West Public Library,
7ff0a80f4bf54761a584fa2ba5b54927,Virginia Commonwealth University Libraries,
35a22fb672b246aaa64453e31a82589d,Wake County Public Libraries,
5eceef490a464ff19d1e3b4ab490094f,Wake Forest University,
6e7e7710b56041e4b72f5e60d5108016,University of Washington Libraries Digital Collections,
6fda39a3a5634377b2f6cbf481bfa331,Van Zandt County Library,
abc24cb4c7e9495a8f74984045f8e924,Washington Memorial Library,
6ebc43eebb1f49b3929d40f433030c32,USDA National Wildlife Research Center,
039ffbd767ff4b0ebce0b827e86e08a9,Warren County Memorial Library,
fd7ea13c877d417fbd36cb497c8ef228,Upper Arlington Public Library,
996b2424a5f042a4acf28266cf732403,University of North Carolina at Chapel Hill,
f8dd36d7945040c3a48abfb477483f36,University of North Carolina at Pembroke,
5bf3e2d114444a37961acc08d656d324,University of South Dakota,
ad89505547f34f2aab84e531e075d062,University of Texas at El Paso,
987791059cec4c8ea6711b2757fda866,University of North Carolina at Greensboro,
d76d558b97534f70af3a50db0f03045e,Union County Public Library,
810df863ef8b468ca5c5ead2a65867cb,UMass Amherst Libraries,
c6d0b31bdf064735bc3d3ba7a5fbd0cd,University of California Berkeley (Department of Geography),
cfbd0df79b1f49b2b5277590594b6cf8,University of North Carolina at Charlotte,
86484e42d77049bdb1d48d4e2ca55a5b,"U.S. Navy Medicine, Bureau of Medicine and Surgery",
116ed88331a14f3692062345e15890f9,Texas Wesleyan University,
ba61b2a71c1441ef8c66e0f742975b30,Texas State University,
91bec50aaf444652a5becc52ba489006,"The Grand Lodge of Ancient, Free and Accepted Masons of North Carolina",
4886598e208c4232a8106b11655ff7f2,"U.S. Department of Agriculture, National Agricultural Library",
6744713026674d1d8e647b757d4319ea,Transylvania County Library,
63287b284143409b8b3525f98405e33e,Tarleton State University,
9bafb06d1494406ab5c51ea6c5ef3f22,Timpson Public Library,
158b0462e3a440f0904628c9f85ae1a1,Tyrrell Historical Library,
3ac8d5e2855647f88a1a8c75bd9ef9d7,The Forest History Society,
a7b4ef0a83ed4c2b8d792340a8d36b13,Texas State Library and Archives Commission,
1428cc387aa44285a241ed4d97be6a4d,Swisher County Library,
d2126d6a44e34ea9a644ddc28112ba25,Stamford Carnegie Library,
1c3d4735ca19416b966583f292324eb0,State Library of Ohio,
fcdd507edb734854beacf50747dc6c61,Swannanoa Valley Museum and History Center,
d84aa633677c4ae9aca70db6cd3043e5,State Library & Archives of Florida,
174cd169ebb14a939a11252033506e23,Surry Community College,
9217627e3d234b5fb4ccf9077e4baa92,Taft Public Library,
810aa5ebe553427b9b353a3bcd836f59,Stonewall County Library,
4c96830d57b84766b6e2318f93976dab,Stephenville Public Library,
d03091452e89437e93e77186e711eddf,Stanly County Museum,
827dcc0b1b294adfbcbf48bf4c57c916,Southwest Georgia Regional Library,
890d89cb085041ffac4ae3f7f467b6cc,South Dakota State University,
5c0a4298ba944a49964b899d17047284,St. Edward’s University,
f32ce8aba00f477ba78352e3d960a61b,Southwestern University,
9d9f2a5ea0a1406ba79fb67142b2c8c2,St. Andrews University,
9a7feb2749f24e80a9ea0f55035a848c,Southern Methodist University,
d956a516dd20499c901e9b0e7d8bcb8b,Smithville Public Library,
c44bc130846848579527e34dd6642e8f,South Piedmont Community College,
64f963b51c5541769a0c72ec74f21e37,Shaw University,
72118bf618a74e67a41515a4d817ea85,Schlesinger Library,
424fe4f5e50e46f0a11ae66e8fa24e31,Sandhills Community College,
ee0d646fa2974af89e62354993072e3e,Sinton Public Library,
4b0505f4014646c3846eeedf465236a0,Science History Institute,
4c1d973db1e24e58b674222db8f70ee8,Schulenburg Public Library,
f369e32e99a2439baf218a25b7472e71,Singletary Memorial Library,
8cbfff1b50a14a2d86c834e9b1110bc2,Screven-Jenkins Regional Library System,
6b1eb807a4bf41d296eee51e1f9547e7,Rockingham Community College,
d2ffcc1352ed4ca2bca4baaf5dc95907,Salem Academy and College,
646625933e3042e0a26d38895cf5aca0,Saint Mary's School,
fe6d12ed74fa466985d676048faed8b2,Rowan Public Library,
7769afb1dd174bfca6dea4dff7c1d9c8,San Diego Air and Space Museum,
84f92244ed9f4882b5b934eb47fbc687,Rockingham County Public Library,
5a19a87b04014535bc4d2071b02f4093,Robersonville Public Library,
46d24da302994df98b7e3d587f7b42d4,Rosenberg Library,
0031823728004a9eb2d459d73fe884f6,Saint Louis Art Museum,
3bcd5d67849a46419fe5963e0fe4cd7c,Sammy Brown Library,
d48d1635910d40bf86c2f4f89069a351,Research Labs of Archaeology (UNC-CH),
99355d4566584ba2a3b1b8667433b1ef,Pine River Library,
3f3db22f782c4e7187ae896ae872bca3,Reynolda House Museum of American Art,
0c9f16c9b20d452aa15dd885c0a31292,Portland Art Museum,
ae5c7dfa8d214677a7dcceeed9fa078d,Queens University of Charlotte,
258655c4ce7347ccbe4c14cae0fc0bd0,Rhode Island School of Design Museum,
01fb8d9a10b34bb8866664692c731e2f,Pender County Public Library,
79d3b71e07064d0fae50971cb90359a3,Penland School of Craft,
381235e96c074795910f2ad51cf1aba7,Randolph County Public Library,
4659b015b7f648dbbd28ee5c3ca22f3d,Red River County Public Library,
2bf6b594b2b340129d490ffce642e238,"Park County Local History Digital Archive, Colorado",
6884911d20624976860cab41d0b30def,Paleontological Research Institution,
b4615bc432ac41d393821698c1385184,Olivia Raney Local History Library,
22fbfc8169484d42816ce28754fe98e5,Orange County Historical Museum,
054aafeaa4114c8f816203c7a1bfb023,Northeast Georgia Regional Library System,
48eb08134be34ecc8932638c05b50498,Palestine Public Library,
7abc080dc88246a7bd2f9606a00610b8,Pasquotank County Library,
13f79925ef8d4213a4d97c092f7d9729,Palacios Library,
427f034e4c5446f29c203ba2add07e2b,Outer Banks History Center,
48c8d693c9fb4d289ed3b9515637700d,North Carolina Wesleyan College,
1bbe0b34fb65430a959938eded27b1d7,North Carolina Humanities Council,
c7760a19f86249b1a38a7a0c065f4877,New Bern-Craven County Public Library,
f783536fea6c4a0a8df8b4e736355d81,"New York Botanical Garden, LuEsther T. Mertz Library",
40c9aca8839144e082624a02df4b6bc2,Nesbitt Memorial Library,
04365243a63f480cb4e7f7bda3795c65,Neuse Regional Library,
7e2d7d5895804979852decb13ea32feb,North Carolina Agricultural and Technical State University,
26a1033ed309420db5a3a614a72f418a,North Carolina Central University,
f89dab756e594c8ea9c44df8c8d9b744,Newberry Library,
0c55384a6aac4b84a53d2f3a8ac5e15c,Nellie Pederson Civic Library,
45dea7d0604f4ac7811c9bb65f623169,National Archives and Records Administration,
e346a57fde674cbf9061b0f11ab20133,National Library of Medicine,
8b94fd4c3449477599d739c4559bc4c1,Mitchell Community College,
bd482acb29cd4185a91e43a1698bdcb2,Mount Airy Museum of Regional History,
8848db07fbb24581803819ad9257bb72,Mount Airy Public Library,
7655fd24683c47abafbc5853668c48f9,Museum of Photographic Arts,
1971d29191dc40a39307e3bddd91484a,Montreat College,
71b2260f8c6b4de6b3e9c023d399f0c2,Missouri Historical Society,
212570c2400b46a499a16861995636e2,Museum of the Albemarle,
1a670c285ada47b993b5acafa7b0c3e6,Montgomery County Memorial Library,
e18a5b0da9054dd39afa2e2a78198349,Methodist University,
6e4846a5936544ccaf9856be45ea918f,Mineola Memorial Library,
62bba97b763d450d9b8589b9b79e51ad,"Missouri Botanical Garden, Peter H. Raven Library",
656ef722fd6c4852968b0ac832ea6ebe,Meridian Public Library,
95ca0b37717848aba3677ab293629d69,Middle Georgia Archives,
8a1533a67fe94d45a95ae79fbeffc09c,Meredith College,
ada60c787759434e917bd58d10c3925d,Mesquite Public Library,
6e6abd432b96411f844d048ad721e5e4,Miami University Libraries,
230c06397104465894144a443d72b479,Los Angeles County Museum of Art,
0df1322574c24d2e8591a7fda8b11388,MBLWHOI Library,
6534abb9833f4cd184dc8e39cc01a6ff,Lucy Hill Patterson Memorial Library,
ec33f47fb3304ab9b1f73e9af6c1b7dc,McDowell County Public Library,
cfc92b03f2ce4207811bb52f56542013,Library of Virginia,
59d8e82f242f4efeb6bce343ca6059b1,Library Company of Philadelphia,
8841481e09a745a4b2f6dcf06debfccb,Library of Congress,
447cd3ee70e44802a0cd2d26059974f9,Mennonite Church USA Archives,
9f926dac6afc42649f79bb533d9a909a,Livingston Municipal Library,
d694feb18e4245239c2d76d87d4f70a2,Louisburg College,
0ee53de9023847b0af94214ca0060b48,Johnson C. Smith University,
ff3e96edf0df4d8db91c1da6a2e17329,Liberty Public Library,
6b0e2135f26941e38864b7d667f1ce05,Kings Mountain Historical Museum,
328113cf5df9406089336026b166c525,Jacksonville Public Library,
84e344e86322494fac7bb200cb6b38f5,Lampasas Public Library,
ea08f7478cf64c01b6e8b5e0518f56ca,Keene Public Library and the Historical Society of Cheshire County,
544dce73cb374b9693ce251375f6424d,Lena Armstrong Public Library,
e478050da99e4eee9b344a870187b8ef,Jewish Women’s Archive,
36a4b3d9490e42f080031e1dc92e9228,Levine Museum of the New South,
8ecc809f3aa14a00affe6825c436f3fd,Hemphill County Library,
b6bf1aac68164b1395fe1328a2989f25,Hondo Public Library,
a264d09b05614ceb87285bd1e707dc04,Indiana State Library and Historical Bureau,
dc8384913a6a437b9ed2a686d67e3553,Indiana Historical Society,
80414e8db6184cb2bf5d70e1277cdfde,Higgins Public Library,
0c83c88353514514bb836fa09a9f428d,Henderson County Public Library,
3c8776410f974e3680d2aabe56f7e509,Houston County Public Library,
1d06f13e93ea49129958caf08c9e47f9,Hickory Public Library,
f1d9582f811d4a9abd069c924a48e3ec,Guilford College,
576814dac6764dc392e5f07cd8d0550e,Hammer Museum,
085a5553fe564c408282c72994c1992f,Hall County Library System,
21de664dcc3a4b20a4b310293a3c4a96,Harvard Library,
86191959d39c4d8b8d4b8e1f98e8844e,Greensboro Public Library,
29c320b6f07d4c14969ba286308b1e90,Granville County Public Library,
cafb56fc94a1465a917167b3fd70f033,Greensboro History Museum,
