"entry_id","institution","open_data_platform","open_data_volume"
"31SjUEA6SAmyqmPXMXbBGC","Muzeum a galerie Mlejn","Europeana","112"
"1sNPul0H4eS7XNVDqHZBF7","Náprstkovo muzeum","Aggregator","12,778"
"1rpI66N73DPpEh2wOUOh92","Přírodovědecké muzeum","Aggregator","591"
"mycZ9iZ3MNzPpfCzIa1Ej","Poštovní muzeum","Aggregator","169"
"6jAU0BoG9S8qB0BbSq318z","Národní lékařská knihovna","Europeana","10,529"
"2AwPYioDxNKXlrSlVQcSoT","Národní technické muzeum","Europeana","224"
"1fCGLS6txsziyX4veIcjv0","Poštovní muzeum","Europeana","169"
"70KyvVBaQJmPoySNcsPety","Národní technická knihovna","Europeana","224"
"7q3UVfWcOUzR8fd9VzyVAt","Muzeum Středního Pootaví Strakonice","Europeana","41"
"6870huYdgkIGLqQDxZmCny","Národní galerie Praha","Aggregator","0"
"7hjZPZVAatPljpls9o8fgm","Národní galerie Praha","Europeana","2"
"19CSa1XcTUfc5Oc9iAl7wA","Studijní a vědecká knihovna v Hradci Králové","Europeana","7,953"
"6IZUBGsljDr8S33C7feJQ9","Faaborg Museum","Europeana","1"
"715IhDucg564CZ1LB151mS","Arbejdermuseet","Europeana","1,122"
"4I5jZzPhROFwuMFzwkeJld","Danmarks Fotomuseum","Aggregator","72"
"64X138MEsnbPBlG7mTdNu3","Uměleckoprůmyslové museum v Praze","Aggregator","1,200"
"5oZ5hDxS0JUaAtLLtB6gD5","Virtuální muzeum","Aggregator","1,200"
"5aehZLr55OUo2UR7F8BkNO","Uměleckoprůmyslové museum v Praze","Europeana","1,247"
"7taXay7OJ6Zw48dncDoE35","Den Hirschsprungske Samling","Wikimedia Commons","38"
"69ulstBAZrsBgnDwPIy54c","Det Kongelige Bibliotek","Wikimedia Commons","126"
"4ZZqDia4hibSLQHdH7kVpQ","Státní oblastní archiv v Praze","Wikimedia Commons","259"
"6jBz6sxA7j3C3zrQX5XQAi","Det Kongelige Bibliotek","Flickr Commons","134"
"6xH0r1CzyE3ACLtr0nAhAA","Vědecká knihovna v Olomouci","Europeana","177,750"
"myIth97hnj7zigFJo8y3U","Kolding Stadsarkiv","Flickr","6,816"
"6EZEkz0puMMiosNyiOtTn","Nationalmuseet","Own website","128,146"
"3h9fmOLDTa0Y2FPMsaJAXn","Nationalmuseet","Flickr Commons","438"
"7ETGd8LjeFA5A3gGg6BLht","Rudolph Tegners Museum og Statuepark","Europeana","1"
"7M9UEbMct3XkXWuNM6kVin","Nivaagaards Malerisamling","Own website","225"
"2dhItSNh0qP1EFdMTQx2dQ","Skagens Museum","Europeana","1"
"4zeR0a0K7qhXy6u3cwQMe8","Københavns Stadsarkiv","Aggregator","13,662"
"3nch1DSkiicfH2Bmknvok3","Københavns Museum","Aggregator","26,736"
"5oz8T1o5tOsteNrD0V2Ica","Frederiksberg Stadsarkiv","Aggregator","1,328"
"q6qpzEUKYwYqlJRFeFaI9","Magasin du Nord Museum","Aggregator","20"
"eAkc4WhSF6XEP1bznSZM8","Slots- og Kulturstyrelsen","Europeana","314,362"
"3wAJUxgwMSxPJssmDULuqo","Sydvestjyske Museer","Own website","150,000"
"26IyYN5xwZDTZje35HSHHo","Tjóðsavn Føroya","Sketchfab","289"
"1TcgyNTqU4pS4ht6oLVemh","Eesti Kunstimuuseum","Europeana","11,235"
"2FnmGXWL3gRKqNPsyb3Rgb","Eesti Piimandusmuuseum","Aggregator","0"
"4wUx2BlrFKJXQElg4A0W9j","Statens Museum for Kunst","Europeana","30,552"
"4dAI9Id0Boc29GJJdbBnCp","Eesti Kunstimuuseum","Aggregator","0"
"43FcSYR3Y4BbxBJB18Ar93","Sorø Kunstmuseum","Europeana","1"
"JKrb6vrUNyVWp4Vumm4DI","Eesti Piimandusmuuseum","Europeana","542"
"10iAHkdnqIfRRFjbao8BN5","Eesti Maaelumuuseumid","Europeana","12,437"
"7tFY2cwFad8yQ6YxM3HaZA","Statens Museum for Kunst","Own website","39,078"
"3MqSAyIbg3MNyMgXSmtuGS","Eesti Maanteemuuseum","Europeana","5,021"
"2cYJYCUUjoTLO6vE993uqA","A.H. Tammsaare Muuseum Vargamäel","Europeana","1,816"
"6Dc65yNwAiHS3PCdNOnQdV","Thorvaldsens Museum","Own website","8,550"
"64cXE3ygsaMRKffoJCiFPZ","Eesti Maanteemuuseum","Aggregator","0"
"1SYIQD5JBUChbcKPutDbvO","Eesti Maaelumuuseumid","Aggregator","0"
"4gHC9hkgnmxH6nU7yZMnWV","A.H. Tammsaare Muuseum Vargamäel","Aggregator","3,430"
"2yc0ILxl43zau9hZ5Ua2nU","Eesti Teatri- ja Muusikamuuseum","Europeana","8,290"
"4WunY0PiZfo12mkl3SwTTn","Eesti Spordimuuseum","Aggregator","0"
"5T61hqZ1APXXuSBswcdRDR","Eesti Teatri- ja Muusikamuuseum","Aggregator","0"
"2W3UXypD58rWiraHhmlZJ0","Eesti Spordimuuseum","Europeana","52,615"
"7yvlf8MQoCzlwlHsYfy6H3","Hiiumaa Museum","Europeana","6,412"
"5TsgnMDwJxN0cRa2xsYrHL","Eesti Tarbekunsti- ja Disainimuuseum","Aggregator","0"
"6vSg8SChpttqXxcxPeAWkv","Eesti Tarbekunsti- ja Disainimuuseum","Europeana","493"
"jWuaUz1yudufbwrdvMGEa","Hiiumaa Museum","Aggregator","0"
"3p0Gx7hZPEbe6HdyvlX7LY","Eesti Rahvusraamatukogu","Aggregator","0"
"7EWitYJvmBVh1sYcmBYUIQ","Eesti Tuletõrjemuuseum","Aggregator","0"
"5wSRSLUyI6b2d3FXbrhJ1n","Haapsalu ja Läänemaa Muuseumid","Aggregator","0"
"32VbzwMCXLVy7FkrLubSVb","Eesti Rahvusraamatukogu","Aggregator","0"
"3O4Z7yYzNHSTMFshbeF5Q5","Harjumaa Muuseum","Aggregator","0"
"4mDeK1eRISqPffhZqbAfwq","Harjumaa Muuseum","Europeana","5,758"
"2dYNzSffl7e0AdqQozgyOG","Haapsalu ja Läänemaa Muuseumid","Europeana","7,875"
"1LOaJneTSVcDNYUp4IOfNi","Eesti Tervishoiu Muuseum","Europeana","4,206"
"5t5BRPR7nVz1NJu9ELaZoW","Eesti Sõjamuuseum - Kindral Laidoneri Muuseum","Aggregator","0"
"4F6IxnjLBBKEeyVNyaUXQR","Eesti Sõjamuuseum - Kindral Laidoneri Muuseum","Europeana","19,871"
"6yGyI4eOaFpShJIkY8laVS","Eesti Tuletõrjemuuseum","Europeana","2,718"
"3RVzWqy57tsh8LhnkPIVDi","Eesti Tervishoiu Muuseum","Aggregator","0"
"47geR1ZAALpRBhJwnsgCCf","Muhu Muuseum","Aggregator","0"
"7C1Jcgrn0iooVO5OvXuiFC","Mõniste Talurahvamuuseum","Aggregator","0"
"3Q5V5mdMQzJ1TfGzF7RH27","Muhu Muuseum","Europeana","4,067"
"7fLGF7Ank2dZiDhmcFEOEE","Kreutzwaldi Memoriaalmuuseum","Europeana","1,240"
"5Jo2AMqCxh3vMkmPoMp34o","Mõniste Talurahvamuuseum","Europeana","5,168"
"7lRkN8MSmzn5VmPih3C3qB","Narva Muuseum","Aggregator","0"
"1mmwVfL9hgihoEiU4yxYoy","Narva Muuseum","Europeana","7,849"
"17TshFpc1dkaABufRPaJ1M","Muinsuskaitseamet","Aggregator","0"
"7dU6T00uWPsutqkAYzdqGU","Iisaku Kihelkonna Muuseum","Aggregator","0"
"3U1WI9vmW4F5Gs7BSX3fHr","Muinsuskaitseamet","Europeana","11,838"
"4FF4wHE4BEUY523n1MaWZw","Kreutzwaldi Memoriaalmuuseum","Aggregator","0"
"3uRYhR6wO8Mi9lVG2Na0fm","Palamuse O. Lutsu Kihelkonnakoolimuuseum","Europeana","1,358"
"63hrz0eDtOmlBuc0lgTYcP","Iisaku Kihelkonna Muuseum","Europeana","2,500"
