id,open_data_platform,open_data_volume,institution_id,institution_name
qBPA1v4tlHUSdEhWk5IUf,Aggregator,"1,049",bc8ded8d50f047eaa1ffbab75d490c1c,Suomen valokuvataiteen museo
6lyG3hgicokRL5UmZkGTKK,Flickr Commons,565,bc8ded8d50f047eaa1ffbab75d490c1c,Suomen valokuvataiteen museo
2QehBTWsOalDeAy2s4dQOb,Aggregator,2,1edd8f602d054381aa8d2c644751e4bb,Työväenliikkeen kirjaston julkaisuarkisto
3FgagtcBcWL7u2GicfKsIM,Aggregator,614,000f9586f0724f12a1f2e8d9fab83331,Suomen melontamuseo
7uAOSR0aF1VRf9t6UcZjeM,Aggregator,"1,581",83db3365cfed4a9a943618d3db3a2780,Varkauden museot
6kmkWBUlPuOL0TC4oOMVxr,Aggregator,"11,846",4c4bf6b5cc3147558d374e6139d922de,Suomen ilmailumuseo
5grxr9PMiqIN2XL7bYGfm1,Aggregator,"1,448",58a92af2bb08406baab2ffb8a8aaca26,Rauman merimuseo
5ws34PHbnvWoh1L7fnGXli,Aggregator,"2,287",b6d995c555104a3f81c5b4eff4718369,Sibelius-museo
3O7NxMKbe8faAc20SoKz07,Aggregator,"8,760",b6d995c555104a3f81c5b4eff4718369,Sibelius-museo
2NByAB0vykoacti3OD85UL,Aggregator,"1,524",57e9aab074e14c399a7a3ed036ae745c,Salon historiallinen museo
56A3a8nni1U74lAbmro74D,Aggregator,"4,913",7661256d8b4b4e97a6b66d359c7ca437,Poikilo-museot
15ZKAtTr94sHN9koMWsrCW,Aggregator,"12,802",c4ce50afaa6149e7be501ff7f8a78e35,Pielisen museo
5oq1UMMI2cISK4eqrjeyww,Aggregator,724,18ddd1292ce9425cadcbb3d47a23b2e6,Siirtolaisuusinstituutti
1X7GwXuaackJbCOtqliN7U,Aggregator,"163,351",53d5ffbea7704fb79e8acccce69daed6,Sotamuseo
53mSmPpcdzMmHH7VCk22e4,Own website,0,53d5ffbea7704fb79e8acccce69daed6,Sotamuseo
732klqt7KSSGxsGctxqiJE,Aggregator,"19,097",766d6572ef34451994bad099234251c9,Satakunnan museo
4H6SRIqYyMDGBrtrwvsZcI,Europeana,211,eb0fb56947884ab2a2ae3dd3e27d3a61,Suomalaisen Kirjallisuuden Seura
5H90dOy4RkbMjravSduHfM,Aggregator,3,6a5c9857b9444223a1f02c5e4dbc2948,Mäntsälän museotoimi
xem1o2dH9fX9Nqzspfmtm,Aggregator,"16,192",ac10433c61c148d6ab69dbce3d713712,Nurmeksen museo
